time,open,high,low,close,21 SMMA,50 SMMA,100 SMMA,200 SMMA,EMA(2),Buy,Sell,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,SuperTrend,Supertrend HTF,Supertrend HTF Trend Up,Supertrend HTF Trend Down,Volume,Volume MA,3 Line Strike Up,ATR
902095200,1.84,2.05,1.635,1.752,2.2562066876700384,2.0887534077556826,2.0034600000000005,NaN,1.8426301940057426,0,0,2.2225,3.1225,5.2,NaN,NaN,1.8095220735798452,2.1068433906896984,NaN,2.1068433906896984,600500,570735.35,0,0.5671716071564091
904600800,1.81,2.55,1.63,2.433,2.264625416828608,2.095638339600569,2.0077554,NaN,2.2362100646685805,0,0,2.1775,3.12,4.5,NaN,NaN,1.8095220735798452,1.9758160257513941,NaN,NaN,824116,588516.25,0,0.5923736352166655
907192800,2.5,2.53,2.03,2.275,2.265119444598674,2.099225572808558,2.0104278460000002,NaN,2.2620700215561933,0,0,2.1775,3.12,6.58,NaN,NaN,1.8095220735798452,2.0567971039529724,2.0567971039529724,NaN,699748,606472.35,0,0.585775518415475
909961200,2.245,2.64,1.97,1.976,2.2513518519987374,2.096761061352387,2.01008356754,NaN,2.0713566738520646,0,0,2.1775,3.12,9.775,NaN,NaN,1.8095220735798452,2.0784548258546938,NaN,NaN,716927,626681.35,0,0.5917915528143698
912466800,1.86,2.11,1.77,1.945,2.236763668570226,2.093725840125339,2.0094327318646,NaN,1.9871188912840216,0,0,2.1775,3.12,5.65,NaN,NaN,1.8095220735798452,2.385317585152531,NaN,2.385317585152531,797615,646166.15,0,0.5738064418990577
915145200,2.02,2.085,1.7,1.775,2.2147749224478344,2.0873513233228325,2.007088404545954,NaN,1.8457062970946738,0,0,2.135,3.12,5.245,NaN,NaN,1.8095220735798452,2.0905394395982215,NaN,NaN,663926,655675.8,0,0.5603202674776965
917823600,1.735,1.875,1.62,1.635,2.1871665928074613,2.078304296856376,2.0033675205004946,NaN,1.7052354323648913,0,0,2.13,2.7350000000000003,5.03,NaN,NaN,2.914141454786193,1.9991065607755016,NaN,NaN,584935,663771,0,0.5385116769435753
920242800,1.65,2.07,1.62,2.02,2.179206278864249,2.0771382109192484,2.0035338452954896,NaN,1.9150784774549638,0,0,2.13,2.7350000000000003,4.695,NaN,NaN,2.914141454786193,1.7920698929475243,NaN,NaN,871384,684437.65,0,0.5321894143047484
922921200,1.96,2.405,1.95,2.253,2.182720265584999,2.0806554467008636,2.0060285068425348,NaN,2.140359492484988,0,0,2.13,2.7350000000000003,3.914,NaN,NaN,2.914141454786193,1.7596041282760877,1.7596041282760877,NaN,802571,689226.5,0,0.5266758847115521
925682400,2.23,2.39,2.145,2.358,2.191066919604761,2.0862023377668466,2.0095482217741094,NaN,2.285453164161663,0,0,2.13,2.7350000000000003,3.096,NaN,NaN,2.914141454786193,2.0895649656444224,NaN,NaN,775871,691954.15,0,0.506556178660727
928188000,2.375,2.48,2.211,2.4,2.2010161139092963,2.09247829101151,2.013452739556368,NaN,2.361817721387221,0,0,2.13,2.7350000000000003,3.296,NaN,NaN,2.914141454786193,2.128555416698145,NaN,NaN,765531,692609.1,0,0.4895878801849608
930780000,2.34,2.785,2.1,2.58,2.2190629656279013,2.1022287251912797,2.0191182121608047,NaN,2.50727257379574,0,0,2.2025,2.7350000000000003,2.38,NaN,NaN,2.914141454786193,2.2209713750763815,NaN,NaN,860978,705751.55,0,0.5035458887431778
933544800,2.5,3.14,2.485,2.82,2.247679014883716,2.116584150687454,2.0271270300391966,NaN,2.71575752459858,0,0,2.38,2.7350000000000003,2.244,NaN,NaN,2.914141454786193,2.27495203916573,NaN,NaN,893006,721927.85,0,0.5143640395472365
936136800,2.77,2.945,2.41,2.745,2.27136096655592,2.129152467673705,2.034305759738805,NaN,2.735252508199527,0,0,2.38,2.7350000000000003,3.291,NaN,NaN,2.914141454786193,2.5800616544717903,NaN,NaN,969370,740452.8,0,0.5158380367224339
938728800,2.755,3.26,2.525,2.955,2.303915206243733,2.1456694183202307,2.0435127021414172,NaN,2.881750836066509,0,0,2.44,2.7350000000000003,2.701,NaN,NaN,2.914141454786193,2.5800616544717903,NaN,NaN,864889,754579,0,0.5314924626708315
