time,open,high,low,close,21 SMMA,50 SMMA,100 SMMA,200 SMMA,EMA(2),Buy,Sell,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,SuperTrend,Supertrend HTF,Supertrend HTF Trend Up,Supertrend HTF Trend Down,Volume,Volume MA,3 Line Strike Up,ATR
878511600,21.18,21.35,18.96,19.15,20.31685582301529,20.36482992395969,20.973226890351526,NaN,19.75271123356002,0,0,20.78,21.784999999999997,25.75,NaN,NaN,19.361545213091134,19.945898050469268,NaN,NaN,765808,911359.9,0,2.4599474715362954
880930800,18.7,19,17.5,17.64,20.189386498109798,20.310333325480496,20.939894621448012,NaN,18.34423707785334,0,0,20.325,21.909999999999997,27.62,NaN,NaN,24.42745572067651,20.41783871868773,NaN,20.41783871868773,748499,900205.8,0,2.402094080712274
883609200,17.68,18.06,15.7,17.21,20.047510950580758,20.248326658970885,20.902595675233535,NaN,17.588079025951114,0,0,19.424999999999997,21.22,30.45,NaN,NaN,23.224851805209802,18.659076870723318,NaN,NaN,1157394,909163.4,0,2.3990873606613974
886374000,16.78,17.2,15.2,15.44,19.82810566721977,20.152160125791468,20.8479697184812,NaN,16.156026341983704,0,0,19.174999999999997,20.97,26.9,NaN,NaN,22.487228569637654,18.659076870723318,NaN,NaN,945070,917492.45,0,2.3712954063284406
888793200,15.59,17.5,12.8,15.61,19.62724349259026,20.06131692327564,20.795590021296388,NaN,15.792008780661234,0,0,17.975,19.77,25.8,NaN,NaN,21.431043765007797,16.539453768028594,NaN,NaN,1354735,946141.3,0,2.5376314487335523
891385200,15.77,16.57,14.95,15.39,19.425469992943103,19.967890584810128,20.741534121083422,NaN,15.524002926887079,0,0,17.975,19.77,29.1,NaN,NaN,21.431043765007797,16.539453768028594,NaN,NaN,1169652,964691.6,0,2.4720863452525847
893973600,15.5,16.3,14.13,15.2,19.224257136136288,19.872532773113925,20.686118779872587,NaN,15.308000975629026,0,0,17.975,19.77,32.43,NaN,NaN,20.84637909265879,16.386627251999407,NaN,NaN,1189954,985697.25,0,2.4505087491631143
896652000,15.03,15.56,11.42,14.18,18.984054415367893,19.758682117651645,20.62105759207386,NaN,14.556000325209675,0,0,17.285,19.08,27.45,NaN,NaN,19.555589394437423,16.0315945990627,NaN,NaN,1291427,1004382.4,0,2.5711866956514635
899244000,14.2,15,13.55,14.21,18.756718490826565,19.647708475298614,20.55694701615312,NaN,14.325333441736559,0,0,16.385,19.08,33.1,NaN,NaN,19.555589394437423,15.862333194848299,NaN,NaN,1129787,1021406.65,0,2.491101931676359
902095200,14.1,14.25,12.56,13.34,18.498779515072915,19.52155430579264,20.48477754599159,NaN,13.668444480578852,0,0,15.21,19.08,30.86,NaN,NaN,18.900780528778554,15.143292430105204,NaN,NaN,1093719,1040350.85,0,2.4338803651280476
904600800,13.25,16.2,13.2,16.14,18.386456681021823,19.45392321967679,20.441329770531677,NaN,15.31614816019295,0,0,14.739999999999997,19.08,32.69,NaN,NaN,18.900780528778554,14.236168167598088,NaN,NaN,1253489,1053352.05,0,2.474317481904616
907192800,16.25,16.36,13.28,14.42,18.197577791449355,19.353244755283253,20.38111647282636,NaN,14.71871605339765,0,0,14.46,19.08,33.8,NaN,NaN,18.900780528778554,14.928434651834138,14.928434651834138,NaN,1298738,1074382.5,0,2.517580518911429
909961200,14.5,14.74,10.82,11.22,17.865312182332723,19.19057986017759,20.289505308098096,NaN,12.386238684465884,0,0,14.16,18.78,26.8,NaN,NaN,18.750152682560813,15.211138760819187,NaN,15.211138760819187,1174534,1085813.3,0,2.6177533389891843
912466800,11.17,12.6,10.65,12.05,17.588392554602596,19.047768262974035,20.207110255017113,NaN,12.162079561488628,0,0,13.61,18.695,28.7,NaN,NaN,18.221017257384958,13.032465544338146,NaN,NaN,1233118,1098326.05,0,2.570056671918528
915145200,12.2,13.75,11.83,12.78,17.3594214805739,18.92241289771455,20.132839152466943,NaN,12.57402652049621,0,0,13.504999999999999,18.695,27.42,NaN,NaN,18.221017257384958,12.626294887542858,NaN,NaN,1259130,1112362.55,0,2.523624052495776
917823600,12.8,12.92,11.3,12.28,17.117544267213237,18.78956463976026,20.054310760942272,NaN,12.378008840165403,0,0,13.504999999999999,18.695,26.4,NaN,NaN,17.510277299622576,12.626294887542858,NaN,NaN,1111095,1119664.1,0,2.459079477317506
920242800,12.37,17.05,12.17,16.73,17.09908977829832,18.748373346965057,20.02106765333285,NaN,15.279336280055134,0,0,13.850000000000003,17.54,28.46,NaN,NaN,17.510277299622576,12.626294887542858,NaN,NaN,1720546,1154844.7,0,2.632002371794827
922921200,16.4,18.83,15.61,18.66,17.173418836474593,18.746605880025754,20.00745697679952,NaN,17.53311209335171,0,0,14.739999999999998,16.9,28.37,NaN,NaN,17.510277299622576,15.089196229920287,15.089196229920287,NaN,1490870,1179088.15,0,2.674002202380911
925682400,18.5,19.05,16.71,16.84,17.15754174902342,18.70847376242524,19.975782407031524,NaN,17.07103736445057,0,0,14.850000000000003,16.9,26.25,NaN,NaN,10.50550232924012,17.20021689767519,NaN,NaN,1415837,1199276.35,0,2.650144902210845
928188000,16.6,19.4,16.2,19.35,17.26194452287945,18.721304287176736,19.969524582961206,NaN,18.59034578815019,0,0,15.024999999999999,16.9,26.35,NaN,NaN,11.101897804836502,18.0743401660678,NaN,18.0743401660678,1468306,1213585.4,0,2.6894202663386415
930780000,19.45,21.06,17.97,20.83,17.431851926551854,18.7634782014332,19.97812933713159,NaN,20.08344859605006,0,0,15.855000000000002,16.9,27.2,NaN,NaN,12.32648992055889,17.735972254524473,17.735972254524473,NaN,1565964,1253593.2,0,2.71803310445731
933544800,20.55,22.3,19,22.11,17.65462088243034,18.83040863740454,19.999448043760275,NaN,21.43448286535002,0,0,16.475,16.9,23.43,NaN,NaN,13.491664785057665,19.442759810239906,NaN,NaN,1469701,1289653.3,0,2.7596021684246455
936136800,21.95,25.12,21.4,24.55,17.982972268981275,18.944800464656446,20.04495356332267,NaN,23.511494288450006,0,0,18.21,17.885000000000005,21.18,NaN,NaN,14.973942242338737,20.31271480727797,NaN,NaN,1452314,1304399.3,0,2.8282020135371715
938728800,24.68,24.85,20.55,21.78,18.163783113315496,19.001504455363314,20.062304027689446,20.664700000000007,22.35716476281667,0,1,18.21,17.885000000000005,19.44,NaN,NaN,15.069899338597622,22.959760592169115,NaN,NaN,1565497,1335420.65,0,2.9333304411416594
941410800,21.98,27.2,21.77,24.59,18.469793441252854,19.11327436625605,20.10758098741255,20.684326500000008,23.845721587605556,0,0,19.684999999999995,18.925000000000004,19.84,NaN,NaN,16.39348514736939,23.943878400830442,NaN,23.943878400830442,1570412,1346204.5,0,3.1116639810601123
944002800,24.45,26.89,24.05,25.75,18.816469944050336,19.24600887893093,20.164005177538424,20.709654867500007,25.115240529201852,0,0,21.405,18.925000000000004,19.48,21.2825,20.309999999999995,16.946091254061677,23.276938000255214,23.276938000255214,NaN,1146409,1345042.35,0,3.09225941098439
946854000,25.05,29.1,24.01,27.62,19.23568566100032,19.41348870135231,20.23856512576304,20.744206593162506,26.78508017640062,0,0,22.65,19.875,21.85,21.1175,20.309999999999995,18.21826825198413,25.040334301156502,NaN,NaN,1538477,1362468.5,0,3.2349551673426475
949359600,27.8,30.83,27.45,30.45,19.769700629524113,19.634218927325264,20.34067947450541,20.792735560196693,29.228360058800206,0,0,23.515,20.74,26.23,20.322499999999998,20.309999999999995,19.346345212208384,25.13213300463592,NaN,NaN,1330750,1364434.65,0,3.245315512532458
951865200,30.6,34.25,26,26.9,20.109238694784867,19.77953454877876,20.406272679760356,20.823271882395705,27.676120019600067,0,1,26.11,22.45,27.29,20.072499999999998,20.309999999999995,20.290843404732854,28.254215700481915,NaN,NaN,1482891,1382089.85,0,3.602792975922997
954712800,26.95,27.12,23.48,25.8,20.38022732836654,19.899943857803184,20.460209952962753,20.84815552298373,26.425373339866688,0,0,26.625,22.45,25.35,18.872500000000002,19.77,20.290843404732854,28.918627245630645,NaN,28.918627245630645,1152090,1385008.4,0,3.605450620499926
957132000,25.55,30.82,25.5,29.1,20.795454598444326,20.08394498064712,20.546607853433123,20.889414745368814,28.208457779955562,0,0,27.4,22.45,26.86,18.872500000000002,19.77,20.290843404732854,27.668755029582226,NaN,NaN,1375800,1391123.95,0,3.72791843332136
959810400,29.4,33.35,28.9,32.43,21.349480569946977,20.330866081034177,20.66544177489879,20.947117671641973,31.022819259985187,0,0,27.4,22.45,27.02,18.872500000000002,19.77,20.290843404732854,27.448342356730407,27.448342356730407,NaN,1557429,1404058.5,0,3.7794956880841206
962575200,30.6,31.6,27.35,27.45,21.639981495187595,20.473248759413494,20.733287357149802,20.979632083283764,28.640939753328396,0,0,28.009999999999998,22.45,28.98,18.182499999999997,19.08,20.290843404732854,29.43523447357489,NaN,NaN,1369208,1413792.2,0,3.872388853220969
965080800,27.55,33.7,27.26,33.1,22.185696662083426,20.72578378422522,20.856954483578303,21.040233922867348,31.6136465844428,0,0,28.865000000000002,22.45,30.47,17.7325,19.08,20.290843404732854,29.893940563064994,NaN,29.893940563064994,1503424,1427307.5,0,4.055789649419472
967759200,33.05,36.78,30.15,30.86,22.59875872579374,20.928468108540713,20.956984938742522,21.08933275325301,31.1112155281476,0,0,30.130000000000003,23.715,27.22,17.145,19.08,22.26434265028351,31.072645288234245,31.072645288234245,NaN,1683836,1448542.8,0,4.239661817318082
